classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,Number <= 22.0,0.623430313734338,0.0038463900072805,188,177
Class DoS/DDoS,UDP <= 0.85,0.6199528050837704,0.0040130522880976,189,171
Class DoS/DDoS,Time_To_Live <= 139.05,0.619906972633493,0.0066796487811724,190,100
Class DoS/DDoS,Variance <= 562976.78,0.6195616291252778,0.0066182468882397,191,102
Class DoS/DDoS,Tot sum <= 15205.0,0.6178725653848256,0.0073419120549459,192,97
Class DoS/DDoS,Tot sum > 609.5,0.6172368354036404,0.0060480864538652,193,116
Class DoS/DDoS,Header_Length > 24.66,0.617163557261814,0.0220520512618089,194,37
Class DoS/DDoS,Min <= 786.0,0.6158567748176801,0.0,195,348
Class DoS/DDoS,Std > 755.85,0.6152917947449305,0.0031972842819925,196,193
Class DoS/DDoS,Min > 64.0,0.6121104010623483,0.0015920633667535,197,240
Class DoS/DDoS,Time_To_Live > 63.43,0.6121033900618836,0.0116970606036683,198,68
Class DoS/DDoS,rst_flag_number <= 0.05,0.6099602810861228,0.0247581204003403,199,33
Class DoS/DDoS,fin_flag_number <= 0.1,0.60830515263103,0.0275957650237274,200,30
Class DoS/DDoS,ece_flag_number <= 0.05,0.604779369156624,0.0119119672289325,201,65
Class DoS/DDoS,Rate <= 240.87,0.6044658652680511,3.947264545669851e-05,202,314
Class DoS/DDoS,Variance > 623806.34,0.6034310432442371,0.0016534652596861,203,231
Class DoS/DDoS,HTTPS > 0.1,0.6031651135221302,0.0273194565055305,204,31
Class DoS/DDoS,UDP <= 0.14,0.6009172865093563,0.0021929247475943,205,220
Class DoS/DDoS,Tot sum > 9140.0,0.6000084726257746,0.0031972842819925,206,193
Class DoS/DDoS,Tot sum > 591.5,0.5992330326969763,0.0013420699455277,207,259
Class DoS/DDoS,fin_count <= 0.5,0.5988609885800701,0.0485908265571958,208,14
Class DoS/DDoS,Tot size <= 204.45,0.5975727352166197,0.0,209,348
Class DoS/DDoS,Tot size <= 1541.55,0.597040783598744,0.0,210,348
Class DoS/DDoS,Tot sum <= 5999.0,0.5960075591497455,0.0,211,348
Class DoS/DDoS,UDP > 0.75,0.5959984373291903,0.0057893213336491,212,121
Class DoS/DDoS,Rate <= 39547.11,0.5949304520114067,0.0308105927037007,213,26
Class DoS/DDoS,Tot sum <= 9140.0,0.5946785245957457,0.0031972842819925,214,193
