classe,predicado,lrc,cobertura,seletividade,lift
Spoofing,AVG <= 1382.0,2.5447499237534994,0.8916,0.9561,0.933
Spoofing,LLC > 0.76,0.017663841610989363,0.9811,0.9903,0.991
Spoofing,Variance <= 523181.62,2.113417560343885,0.8643,0.8866,0.975
Spoofing,IPv > 0.78,2.0052654402539063,0.9811,0.9902,0.991
Spoofing,Rate <= 76910.34,1.8501252982824492,0.9203,0.981,0.938
Spoofing,Rate <= 99308.84,2.6454813694547146,0.921,0.9861,0.934
Spoofing,Variance <= 348177.05,1.634661149618598,0.6895,0.8169,0.844
Spoofing,HTTP <= 0.38,2.4653589968408856,0.9203,0.9272,0.993
Spoofing,Tot sum <= 72586.5,2.4201225553886103,1.0,0.8984,1.113
Spoofing,rst_flag_number <= 0.74,2.766686255501479,1.0,0.9605,1.041
Spoofing,HTTP <= 0.35,1.8537974880073549,0.9203,0.9272,0.993
Spoofing,Std <= 714.24,1.7690431752512716,0.8441,0.8842,0.955
Spoofing,Min <= 1247.0,1.9114438925382955,0.9161,0.9875,0.928
Spoofing,Tot size <= 1672.8,2.0704558207725263,0.9692,0.9766,0.993
Spoofing,Max <= 4965.5,2.6365226041716765,0.9965,0.9811,1.016
Spoofing,AVG <= 1434.0,2.597103318776292,0.8951,0.9588,0.934
Spoofing,fin_flag_number <= 0.07,2.5505866881658545,0.9503,0.8939,1.063
Spoofing,AVG <= 1816.75,2.494442331829015,0.9734,0.9831,0.99
Spoofing,Time_To_Live <= 96.75,2.4244520922752884,0.6287,0.7856,0.8
Spoofing,Rate > 19.4,2.005151790594245,0.9902,0.9962,0.994
Spoofing,fin_flag_number <= 0.12,1.8112846075829552,0.9909,0.9439,1.05
Spoofing,DHCP <= 0.11,1.5317298086620994,0.9958,0.9988,0.997
Spoofing,Variance <= 739184.66,2.8104009011628612,0.9413,0.9113,1.033
Spoofing,Std <= 1009.34,2.753775911033281,0.951,0.9412,1.01
Spoofing,Time_To_Live <= 193.53,2.5726143139110325,0.9133,0.9641,0.947
Spoofing,Tot size <= 1090.56,2.4905769809886773,0.8133,0.9301,0.874
Spoofing,Variance <= 552581.94,2.393672711878837,0.9168,0.8925,1.027
Spoofing,Tot sum <= 101297.0,2.346457426365315,1.0,0.9967,1.003
Spoofing,Min <= 2716.5,2.092361645971922,1.0,0.9998,1.0
Spoofing,UDP <= 1.0,2.5001525304253027,1.0,1.0,1.0
