classe,cobertura,seletividade,lift
Benign,0.47973381730187536,0.7235623311462756,0.6630165732119798
Benign,0.7320024198427102,0.29042840602084136,2.5204229499168935
Benign,0.4745916515426497,0.6150135082979544,0.77167679268717
Benign,0.9307320024198427,0.8824778077962177,1.0546803491230319
Benign,0.9591651542649727,0.9694133539174065,0.9894284521550888
Benign,1.0,0.9986491702045542,1.001352657004831
DoS/DDoS,0.22210774212540477,0.3646015125072717,0.6091794315334197
DoS/DDoS,0.9995584339122755,0.9217568353694008,1.0844057733639645
DoS/DDoS,0.028260229614365615,0.15488656195462477,0.18245759514401688
DoS/DDoS,0.9278775390050045,0.7322571262361838,1.2671471615091183
DoS/DDoS,0.9998528113040919,0.0,
DoS/DDoS,0.9998528113040919,0.9844386271087842,1.0156578417088102
DoS/DDoS,0.5264939652634678,0.07300756253635834,7.2114990142462245
DoS/DDoS,0.9567265234030027,0.2642524723676556,3.6205016923054743
DoS/DDoS,0.10847806888430969,0.8135543920884235,0.1333384343311608
DoS/DDoS,0.6396820724168384,0.13379872018615474,4.780928184715414
DoS/DDoS,0.1817780394465705,0.0,
DoS/DDoS,0.960847806888431,0.7162594531704479,1.3414801056172287
DoS/DDoS,0.8241095083897557,0.8804537521815009,0.9360054475863826
DoS/DDoS,0.5578451574919047,0.051774287376381616,10.774559839647013
DoS/DDoS,0.9393582572858404,0.9594240837696335,0.979085550568052
DoS/DDoS,0.6128937297615543,0.548283885980221,1.1178401288701452
DoS/DDoS,0.21254047689137473,0.009016870273414777,23.57142450169504
DoS/DDoS,0.4579040329702679,0.8590750436300174,0.5330198291355277
DoS/DDoS,0.07609655578451575,0.44575334496800467,0.17071449186764448
DoS/DDoS,0.9973506034736532,0.9237929028504944,1.0796257477148679
DoS/DDoS,0.9821901677951134,0.8243164630599186,1.1915207469582214
DoS/DDoS,0.5401825139829262,0.9597149505526469,0.562857245968571
DoS/DDoS,0.20768324992640566,0.8410413030831879,0.24693585102783422
DoS/DDoS,0.8982926111274654,0.2824316463059919,3.180566423332879
DoS/DDoS,0.517221077421254,0.9514252472367656,0.5436276564274751
DoS/DDoS,0.9826317338828378,0.36314717859220474,2.705877373719821
DoS/DDoS,0.9998528113040919,0.0,
DoS/DDoS,0.9720341477774507,0.7265852239674229,1.337811609310999
DoS/DDoS,1.0,0.9970913321698662,1.0029171528588097
DoS/DDoS,0.9966146599941125,0.5983129726585223,1.6657079246765965
DoS/DDoS,0.9998528113040919,0.9179755671902269,1.0891932716297426
DoS/DDoS,0.9933765086841331,0.9408086096567772,1.0558752316760085
DoS/DDoS,0.8651751545481307,0.9687318208260617,0.8931007900725035
DoS/DDoS,0.9969090373859287,0.8971785922047703,1.1111600812231555
DoS/DDoS,1.0,0.9598603839441536,1.0418181818181818
DoS/DDoS,0.010008831321754489,0.5671902268760908,0.017646339530354837
DoS/DDoS,0.9030026493965263,0.3075916230366492,2.93571925165509
DoS/DDoS,0.9852811304091845,0.9661140197789413,1.019839387730476
DoS/DDoS,0.17912864292022374,0.0,
DoS/DDoS,0.8105681483662055,0.17437463641652123,4.648429181122626
DoS/DDoS,0.015160435678539887,0.16826643397324026,0.09009780097289564
DoS/DDoS,0.3700323815130998,0.31762652705061084,1.1649920582802538
DoS/DDoS,0.031939947012069474,0.5776614310645725,0.055291811594911804
DoS/DDoS,0.641301148071828,0.8573298429319371,0.7480214917967583
DoS/DDoS,0.09949955843391227,0.7175683536940082,0.13866213291276464
DoS/DDoS,0.9995584339122755,0.9889470622454916,1.0107299693501186
DoS/DDoS,1.0,0.9806573589296103,1.019724158386475
