Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
1091995366823138898995898948102109473193356840202,DNS <=,0.0569568578721034,8.251395322894583,0.0,148,74,74,447981.5277215277,477478.1839651173,-29496.65624358965,40703.362139246696,15187.741935483871,25515.620203762825,0.0908594654477551,0.0339026075756516
922599836131670820904126277297069322180441856169,Rate <=,0.059622029090306,7.3019546369286585,0.0,146,73,73,318671.838783314,326946.09978803195,-8274.261004717962,29791.151964780696,10791.290322580646,18999.86164220005,0.0934853612371994,0.0338633321468934
510505520442458443414009447271658614884328320759,IRC <=,0.0597576832300807,7.085154781456013,0.1209009009009009,104,52,52,25761.6306811906,34735.701887725314,-8974.071206534714,2838.406978640144,1298.951612903226,1539.455365736918,0.1101796316299401,0.0504219483998593
1070253533701240439447821754319583826073025846503,Max >,0.0609651200222407,5.955624650870139,0.0,140,70,70,122831.09262161863,137003.90285499388,-14172.810233375249,17979.94456220447,10491.532258064515,7488.412304139952,0.1463794237961532,0.0854143037739125
505469541859377927785473031559292540931343582537,ICMP <=,0.0631750190621419,8.426324719693108,0.005789789789789791,143,71,72,472254.9742272108,477085.0559637709,-4830.081736560038,37428.58796673732,7593.870967741936,29834.716998995387,0.0792550423168856,0.0160800232547436
450410814915736770904937984733342042835793211647,ece_flag_number <=,0.0637339874950791,6.866234799982773,0.0012312312312312312,130,65,65,98206.51910868227,103800.94399415117,-5594.424885468878,8057.641447904778,1798.548387096774,6259.093060808003,0.0820479283965621,0.018313940901483
896530251803066355404557928035950607124936193677,psh_flag_number <=,0.0645223970763708,9.375710231123058,0.0,143,71,72,342930.5898286899,361819.8282164704,-18889.238387780555,43509.44562204468,21382.74193548387,22126.70368656081,0.1268753704467709,0.0623529733704
1454952188391427871478129207189215566009723810659,Std >,0.0701255149227579,5.573709093755857,0.0,138,69,69,99768.39238282586,104557.30402160708,-4788.91163878121,14790.019566280776,7793.709677419355,6996.309888861421,0.1482435389910796,0.0781180240683217
1375509225989204300559045429796274689340158771149,rst_count <=,0.0722102672075173,7.937907798281668,0.0,142,71,71,343125.91563093365,354486.6631864635,-11360.747555529872,31271.972118049896,6494.758064516129,24777.214053533768,0.0911384733518235,0.0189282061443062
1343908975744673306589744221553424462279673294717,TCP <=,0.0722226462608599,4.580108335535482,0.0023123123123123123,140,70,70,61047.06008741709,62838.26074436023,-1791.2006569431396,6707.125387249307,2298.1451612903224,4408.980225958985,0.1098681144947022,0.0376454682338423
378316838538499851440768051160724422589084218125,IAT <=,0.0746036236167045,9.62784393723159,0.0,147,73,74,464379.8204188867,494219.0340332312,-29839.213614344422,49132.72378933638,14488.306451612903,34644.41733772348,0.1058028829612297,0.0311992593445252
684418957212367241623111035135876005715150589706,HTTP <=,0.0758043492727293,8.530149730007597,0.0,140,70,70,325129.0110086628,351297.7808839541,-26168.76987529127,38934.660851133216,14288.467741935485,24646.19310919773,0.1197514203064943,0.043947071033765
843826879422383561066103188424018239931401286651,ack_count <=,0.0763668788767217,6.026943499343045,0.032378378378378384,141,70,71,135479.43620708698,143288.21606275937,-7808.779855672386,16041.544920919616,5695.403225806452,10346.141695113163,0.118405754925045,0.0420388760483232
1233133706649643691022119102239698495899057226060,Time_To_Live <=,0.0785445195974957,7.3636501658565505,0.0018318318318318318,143,72,71,159086.76454190182,164617.74804994662,-5530.983508044796,27783.054785586173,15287.66129032258,12495.393495263592,0.1746408940152177,0.096096374417722
974265510705878984211701297112044370513255377925,Std <=,0.0786422337715855,8.510169824051204,0.0,145,73,72,315966.310046654,329681.10090572946,-13714.790859075438,39236.68351540845,14388.387096774191,24848.29641863425,0.1241799592798832,0.0455377255082976
926368966621798523173828527325665066772113177503,UDP <=,0.0800893671939693,9.054422239777601,0.06594594594594595,148,74,74,399102.0643872651,412088.51760439295,-12986.453217127826,40556.89629871189,8593.064516129032,31963.831782582856,0.1016203621020558,0.0215309949080865
417610515582391639059962073933335223318558562917,fin_count <=,0.0802717671146959,7.186869717710885,0.024966966966966965,145,72,73,233317.9334167881,239504.64074572775,-6186.707328939694,25423.439589108104,6694.596774193548,18728.842814914555,0.1089647898761938,0.0286930227614978
1329847435934461746074927120436757452470095790255,Min >,0.0806171510187586,4.357677627234406,0.0,126,63,63,29429.45139462348,30521.460948964617,-1092.0095543411371,4570.744333931192,2198.225806451613,2372.518527479579,0.1553119109371583,0.0746947599183996
215123608059624622405742600984392925785664489773,Variance <=,0.0842277125034667,8.389798503866954,0.0,144,72,72,310227.4721233097,332528.33819422167,-22300.866070911987,38819.5083971955,12689.758064516129,26129.75033267937,0.125132400852512,0.0409046883490453
1085488307210616684491611463585545838953333018237,Type >,0.0851158060922054,6.198468398818717,0.09124324324324325,133,66,67,56282.81466471705,62526.85383935663,-6244.039174639576,6788.944236099788,1998.3870967741937,4790.557139325594,0.1206219745146414,0.0355061684224359
338730224709676774412755851787278702947952010784,sum <=,0.091474377224748,7.724524627184148,0.034504504504504506,148,74,74,243031.29054612012,264164.5680822415,-21133.27753612137,29225.490787542803,6994.354838709678,22231.135948833125,0.1202540245820596,0.0287796473573116
475011065740486827108472353828139148231878458661,syn_flag_number <=,0.091905685945098,7.0791595395927684,0.0,142,71,71,234169.6021391415,235038.81743660683,-869.2152974653291,22920.388879830425,1398.8709677419356,21521.51791208849,0.0978794372559566,0.0059737513108586
1379366653555122327876205020011632492492609315477,Type <=,0.0928303314167995,6.0350517542855036,0.0019519519519519517,138,69,69,147477.6767408467,173759.96986161591,-26282.2931207692,17887.014511658243,4196.612903225807,13690.401608432436,0.1212862509564072,0.0284559195396076
64377807084757001895684323011847661640759168792,Max <=,0.0934043980965562,11.187600377008172,0.0,144,73,71,403360.63608821656,438674.0064195285,-35313.37033131189,61956.060655470406,24280.40322580645,37675.65742966396,0.1535996701520481,0.0601952720554918
786396322989194697344344278946426998739971577495,HTTPS <=,0.09344972122839,7.668571893154653,0.0,140,70,70,168822.58845589435,186531.18834912137,-17708.599893227016,30064.89157019403,14288.467741935485,15776.423828258548,0.178085716166167,0.084635994937777
1338222599102815322204523610829624561969283441716,SSH <=,0.0995813037343708,8.002049406536994,0.0,135,68,67,237924.14561888884,247348.04128117065,-9423.89566228178,29488.1191912604,5795.322580645161,23692.79661061524,0.1239391618473855,0.0243578581130147
714914936218336719861297767221934377853836589461,UDP >,0.1012289856117765,5.1711047033466615,0.10267267267267266,142,71,71,92160.72201942954,96091.74135954092,-3931.019340111394,10528.36866134029,1199.032258064516,9329.336403275776,0.1142392163455563,0.0130102307337797
1232849963170894971818913290506039176322619533319,psh_flag_number >,0.1026693170260892,5.411107186206208,0.047027027027027025,145,72,73,79150.352022112,82705.96914891938,-3555.6171268073813,11823.32871351704,3697.016129032258,8126.312584484782,0.1493780938613386,0.0467087768352493
456981593260173952852784572082992124101289568915,TCP >,0.1026743675594239,7.3078748041295345,0.1288738738738739,140,70,70,200297.47848761067,211972.35372627195,-11674.875238661276,26260.8201532692,5695.403225806452,20565.41692746275,0.1311090900971754,0.0284347225377514
